topic,AVS,FDI,FI,PD,LEGA,M5S,IV,LEU
antisemitism,"mese, alleato, contare, euro, inutile, mezzo, tenda, chiudere, storia, comunque, attacco, milione, invece, consiglio, via","sinistra, ebraico, inneggiare, israeliano, aprile, caratterizzare, continuare, partecipare, scendere, senatore, susseguire, accademico, articolo, censura, centrodestra","divisa, esistere, ostruzionismo, terrorista, antitesi, aperto, boicottaggio, conoscere, funesta, gennaio, inquietante, negazionista, novecento, polizia, presunto","riguardare, interno, malessere, vivere, sportivo, elettorale, impedire, militante, protestare, serio, sicuramente, simbologia, studente, appunto, disagio",NA,NA,NA,NA
climate_activists,"sovraffollamento, fascista, elemento, impresa, record, accordo, allevatore, applauso, asilo, atteggiamento, cancellare, casso, climafreghista, comitato, dispositivo","dichiarare, proprietà, teatro, artistico, attendere, candidare, conforme, diametralmente, eleggere, influire, nervo, occupato, occupazioni, opposto, paladina",NA,"progressista, democratica, aspettare, appello, circostanza, disperazione, spingere, accanimento, adiacenza, cire, contadino, contrario, esattamente, figura, rientrare","pastore, precludere, costare, soffiare, telecamera, commente, limite, dibattito, eco, azione, valere, ferrovia, probabilmente, periodo, racket","emarginazione, investire, purtroppo, arresto, crimine, fallimento, giornalista, lanciare, bavaglio, costante, garantismo, scusa, utile, volgere, addestrare",NA,NA
far_right,"credit, emendamento, eversivo, fondante, tax, anzitutto, bocciare, buttare, climatico, corpo, dibattito, ennesimo, identificare, indecente, persino",NA,NA,"sede, quartiere, attività, grave, interpellanza, appartenere, episodio, svolgere, affitto, clima, peraltro, squadrista, trattare, vero, aspetto",NA,"gestire, affermare, amministratore, condividere, decennio, incinto, inerme, mattino, operazione, riuscire, terrificante, trasparenza, ulteriore, vetrina, occupazione","funzionare, finora, negozio, tampone, scendere, sera, fondamentale, soggetto, pensiero, magari, capire, aspettare, atto, violento, libertà",NA
labor,"sindacale, strumento, climatico, organizzazione, padrone, producere, riguardare, spesso, studente, autoritario, come, dopo, elemento, garantista, licenziamento","record, lingua, mai, associazione, annunco, categoria, confrontare, divertare, migliaio, perdita, quartiere, ramo, tavolo, verità, xviii",NA,"pensiero, conquistare, disabile, pericolo, serio, libertà, picchiare, rischio, sfruttamento, aspettare, lottare, praticamente, contributo, media, forma",NA,"bomba, esercitare, partecipare, regalare, sottosegretario, agosto, cittadinanza, coprire, derivare, diffuso, dosso, famoso, ideale, macchina, mancato",NA,NA
migrants,"meno, ricorso, software, ammettere, climatico, danno, denuncia, detentivo, deterrente, garantismo, giornalista, impossibile, indelebile, membro, ritirare","calpestare, fregare, giurato, tentare, volte, fallire, quarantena, realizzare, accedere, adeguatamente, autonomamente, bando, bonus, carcerario, caserma",NA,"giudice, messaggio, ragione, corso, video, asilo, campagna, estremo, partito, semplice, collettivo, comportamento, consenso, crinale, giustizia","sinistra, sindace, vostro, autorizzazione, avviare, bade, esterno, fascista, favorire, frontiera, libico, ministero, normale, opporre, porta","permesso, soggiorno, accusa, aiutare, concreto, conduttore, datore, duro, espressione, inevitabilmente, insegnare, liberticido, pugno, silenziare, temporaneo",NA,"esperienza, locale, preparare, intervenire, comunità, articolo, esame, riunione, esistere, bastare, legge, motivo, criminalizzare, costituzione, penale"
no_vax,"dentro, fornire, gratuito, nemico, occasione, politica|politico, punire, restare, evento, giovane, intervenire, cercare, indietro, raduno, musicale",NA,NA,"pensiero, bavaglio, ecco, insomma, pericoloso, provvedimento, città, idea, preventivo, reale, studente, abitazione, cronaca, dibattito, evidentemente",NA,"violento, condotta, formazione, leader, osservare, sfociare, alto, assalto, avviso, distinguere, efficace, esempio, estremismo, giudiziario, giustizia","comunità, detenuto, eversivo, polizia, comprensibile, condividere, destare, elemento, grazie, matrice, ministero, numeroso, personale, rigoroso, succedere",NA
police_security,"militare, circa, fenomeno, gestire, minaccia, ponte, spontaneo, aumentare, clima, commissariato, democraticamente, determinare, dirigere, domani, esercitazione","armato, amore, silenzio, sindacale, animare, compito, debole, eletta, immagine, indifese, insignire, madrepatria, osservare, passione, patrio","sopportare, autorizzato, dispiacere, ottenere, percezione, abnegazione, carabiniere, dico, massimo, onore, opposizione, procedimento, stenografire, vergognoso, esistere","disagio, proiettile, sproporzione, azienda, condividere, crisi, cultura, ecco, finire, forse, impegno, incontrare, informativa, ragionare, riferimento","aprire, comprensione, concertare, disperazione, futuro, pace, riproporre, ristorante, manifestazioni, garantire, intero, cercare, solidarietà, scontro, agente","soldato, arrivo, foglio, risorsa, spiegare, accordo, adottare, aggiuntivo, azzerare, costituzionalmente, imprimere, motivo, naturalmente, politica|politico, prefetto",NA,NA
prisoners_rights,"climatico, cambiamento, desistenza, identificare, indicare, abbraccio, corte, definitivo, depurato, impiego, incentivare, incessante, inciso, inconcepibile, indignazione","mortificare, flagellare, protocollo, supremo, eterodiretto, furto, certezza, circostanza, comunicazione, disordine, domare, domenica, durato, equipaggiamento, fermezza","convocare, abusivamente, confermare, giornalismo, immagine, ordinario, riguardo, pomeriggio, rappresentare, immobile, valore, forza, opposizione, mandare, condividere","urbano, resistere, risultato, catena, contraddittorio, ente, innocente, nemico, odioso, segreto, allarme, amico, ampio, attivo, civico","body, cam, euro, certamente, investimento, superare, disporre, legale, tutela, guardia, agente, oltre, garanzia, assistere, milione","accedere, bocca, bugia, corrotto, formulazione, incidere, peso, popolo, riunione, soffocare, tecnico, abominevole, adempiere, antimafia, applicabile","prezzo, sproporzione, trasmettere, vicinanza, accusa, arte, custodia, equilibro, ignobile, maiale, mozione, operativo, porcilaia, procura, ricercatore",NA
pro_palestine,"violazione, appunto, cartello, chiudere, davvero, mobilitazione, accesso, agire, agricoltore, ambientalista, artista, buonista, cattivista, contatto, diseguaglianza","agente, anti, argomento, tentare, affermare, ambiguità, avanti, benzina, bloc, brigare, coro, fase, film, fuoco, immagine",NA,"accettabile, aiuto, nemmeno, sciopere, aprire, coprire, criminalizzazione, esercito, grido, legalizzare, legare, nave, sentimento, servire, crimine",NA,"stampa, esame, spazio, assolutamente, decidere, significare, ambiente, ascoltare, culturale, dialogo, modello, prendetevelare, punire, soldato, veramente",NA,NA
students,"destra, classe, dedicare, lista, nemmeno, organizzazione, appello, inerme, investire, liceo, masco, pagare, piano, povero, riflessione","burocratico, competenza, conferenza, disagio, rivolta, rivoltoso, possibile, lavorare, percorso, dimostrare, incredibile, neanche, bastare, come, purtroppo",NA,"comune, controllo, aprire, clima, mozione, residenza, zona, accesso, adottare, autonomia, autorità, circolazione, conseguenza, fermare, mobilità",NA,"chiaro, tagliare, anziché, combattere, curioso, insegnare, storia, alquanto, attenzione, chiaramente, costituzione, dialogare, dissidente, eccetera, fascista",NA,NA
