topic,cluster_id,cluster_words,cluster_frex
antisemitism,1,"manifest, stat, grupp, applaus, sinistr, deput, ottobr, d'ital, fratell, vist","d'ital, fratell, esemp, sinistr, bell, sportiv, all'intern, ringraz, ottobr, antisemit"
antisemitism,2,"violenz, stat, alcun, forz, tutt, manifest, paes, polit, episod, part","neofasc, crescent, dobb, inform, intoller, nuov, ital, campagn, spess, social"
antisemitism,3,"stat, memor, democraz, democrat, manifest, libert, liber, dissens, parl, stamp","memor, dissens, que, senz, fors, ragion, via, voc, democraz, libert"
climate_activists,1,"lavor, blocc, deput, protest, grupp, stradal, stat, applaus, paes, democrat","progress, democratico-ital, luog, cris, europ, neanc, alleanz, verd, continu, democrat"
climate_activists,2,"manifest, reat, stat, diritt, dissens, norm, sicurezz, pen, protest, polit","garant, altru, delitt, princip, disposizion, imbratt, dell'ordin, condott, costituzional, intervent"
far_right,1,"manifest, stat, forz, grupp, deput, applaus, part, chied, fascist, sed","punt, prat, student, alleanz, segnal, verd, sab, veng, confront, fratell"
far_right,2,"manifest, organizz, piazz, cas, person, stat, casapound, magg, violenz, rom","abus, bresc, logg, strag, bomb, ore, casapound, organizz, occup, comun"
labor,1,"deput, stat, grupp, parl, applaus, protest, diritt, manifest, paes, rispett","cittadin, fratell, part, sinistr, alleanz, d'ital, democrat, verd, strad, pot"
labor,2,"lavor, scioper, protest, manifest, fa, c'è, chied, stat, contratt, presid","mentr, post, risc, disoccup, pacif, prat, salar, cio, integr, poliz"
migrants,1,"diritt, paes, protest, internazional, migrant, parl, poss, person, europe, lavor","convenzion, europe, intend, ricerc, internazional, civil, contest, alban, stor, ulterior"
migrants,2,"stat, deput, grupp, applaus, person, vist, protest, sindac, forz, ital","premier, d'ital, fratell, lega-salvin, progress, utilizz, vist, grupp, sindac, applaus"
migrants,3,"manifest, reat, pubblic, dissens, norm, sicurezz, alcun, forz, stat, dell'ordin","reat, pen, aggrav, codic, penal, manifest, pun, destr, strad, ufficial"
no_vax,1,"stat, manifest, paes, norm, rav, democrat, prim, part, polit, deput","norm, reat, giovan, radun, party, pens, decret, illegal, molt, musical"
no_vax,2,"manifest, stat, forz, polit, pass, lavor, green, ottobr, ricord, dic","pass, green, violenz, no, violent, estrem, qual, solidariet, cgil, citt"
police_security,1,"manifest, forz, deput, grupp, paes, stat, dell'ordin, democrat, polit, applaus","grupp, democrat, applaus, reat, d'ital, fratell, mett, penal, sinistr, strad"
police_security,2,"stat, sicurezz, cittadin, presid, forz, manifest, citt, que, piazz, grand","presid, soprattutt, que, episod, mess, mes, agent, possibil, legal, preoccup"
prisoners_rights,1,"stat, deput, protest, applaus, grupp, diritt, democrat, libert, lavor, paes","progress, stell, democrat, alleanz, verd, democratico-ital, part, mov, applaus, signif"
prisoners_rights,2,"sicurezz, norm, stat, diritt, manifest, penal, dissens, occup, reat, codic","occup, codic, spaz, stabil, tant, criminalizz, immobil, penal, abus, preoccup"
prisoners_rights,3,"carc, reat, rivolt, deten, pass, resistent, carcer, protest, nuov, manifest","resistent, climat, pacif, pass, precedent, all'intern, carc, cpr, suicid, cell"
prisoners_rights,4,"forz, poliz, stat, penitenziar, agent, rivolt, dell'ordin, manifest, deput, deten","agent, uomin, forz, decin, dell'ordin, poliz, giorn, d'ital, fratell, penitenziar"
pro_palestine,1,"manifest, stat, libert, pubblic, ottobr, tutt, continu, forz, ricord, grupp","corte, condizion, tutt, pubblic, libert, esprim, intend, not, scontr, scors"
pro_palestine,2,"deput, grupp, applaus, part, sinistr, democrat, verd, diritt, alleanz, gaz","democratico-ital, tant, sinistr, flotill, acque, alleanz, verd, fratell, dimentic, progress"
pro_palestine,3,"manifest, dissens, stat, protest, deput, reat, ved, senz, ital, pacif","repression, reat, nuov, dissens, ved, all'intern, centr, protest, senz, form"
students,1,"student, protest, deput, paes, ragazz, scuol, grupp, chied, tant, sed","italian, stud, affitt, cittadin, studentess, tend, istitu, misur, nuov, scolast"
students,2,"manifest, stat, ragazz, piazz, protest, diritt, scuol, aver, prim, va","dissens, donn, ver, reat, rivolt, senz, piazz, democraz, tip, limit"
