topic,frame_id,frame_words,frex_words
antisemitism,1,"manifest, violenz, fascist, adott, iniz, paes, c'è, poss, rispett, chied","adott, iniz, esemp, sicur, bell, simbolog, sportiv, all'intern, fascism, va"
antisemitism,2,"democraz, liber, libert, stat, dissens, stamp, democrat, diritt, giornal, de","de, democraz, diritt, liber, voc, dissens, libert, giornal, stamp, magar"
antisemitism,3,"stat, manifest, alcun, forz, parl, fa, ebre, destr, luog, dop","europe, antisem, fors, ebre, destr, luog, dop, alcun, approv, preoccup"
antisemitism,4,"stat, grupp, applaus, violenz, deput, person, manifest, tutt, giorn, sinistr","person, d'ital, fratell, sinistr, giorn, deput, applaus, esist, vot, segr"
climate_activists,1,"lavor, deput, blocc, grupp, protest, democrat, stradal, applaus, stat, paes","lavor, alleanz, verd, progress, democrat, democratico-ital, galer, europ, post, part"
climate_activists,2,"occup, blocc, provved, cas, forz, ben, manifest, protest, alcun, polit","sicur, fratell, cultur, defin, altru, occup, d'ital, forz, sent, patrimon"
climate_activists,3,"manifest, diritt, stat, dissens, deput, blocc, grupp, reat, polit, stradal","piazz, chied, premier, civil, liber, azion, messagg, manifest, poter, esprim"
climate_activists,4,"reat, dissens, norm, penal, pen, resistent, nuov, social, pass, protest","resistent, delitt, nuov, pen, disag, deten, violazion, condott, pun, social"
far_right,1,"manifest, forz, violenz, grupp, stat, sed, part, nessun, può, cred","ministr, nessun, violenz, cred, può, ottobr, attiv, migliai, solidariet, attacc"
far_right,2,"manifest, piazz, stat, neofasc, magg, bresc, logg, strag, organizz, person","bresc, logg, strag, magg, bomb, mattin, memor, piazz, cestin, esplos"
far_right,3,"cas, stat, casapound, abus, occup, pens, poi, rom, organizz, giornal","abus, casapound, cas, occup, l'occup, pag, quart, rivolt, peraltr, giornal"
far_right,4,"manifest, deput, grupp, stat, protest, forz, fascist, applaus, sinistr, chied","sinistr, alleanz, verd, prat, protest, student, deput, arriv, applaus, questor"
labor,1,"lavor, manifest, scioper, protest, chied, stat, contratt, giorn, presid, pens","integr, poliz, contratt, lavor, pacif, semplic, cass, scors, post, prat"
labor,2,"deput, stat, grupp, applaus, rispett, scioper, mov, parl, stell, protest","vergogn, precar, scuol, rispett, mov, stell, rispost, citt, respons, andat"
labor,3,"protest, deput, parl, grupp, dic, lavor, applaus, manifest, stat, piazz","possibil, punt, front, strad, parol, ferm, nessun, climat, convoc, organizz"
labor,4,"scioper, lavor, diritt, fa, stat, occup, general, c'è, prim, libert","general, libert, occup, fa, storic, divers, poter, tem, diritt, evident"
migrants,1,"diritt, protest, lavor, person, rivolt, internazional, poss, parl, paes, senz","ricerc, violazion, convenzion, alban, ulterior, internazional, vergogn, rivolt, paur, posit"
migrants,2,"stat, deput, grupp, applaus, person, protest, sindac, d'ital, fratell, premier","d'ital, fratell, premier, grupp, lega-salvin, sindac, applaus, deput, progress, ben"
migrants,3,"manifest, reat, pubblic, norm, alcun, sicurezz, dissens, pen, stat, aggrav","pen, reat, codic, penal, aggrav, pubblic, norm, ufficial, pun, alcun"
migrants,4,"forz, manifest, stat, dell'ordin, invec, diritt, giudic, vogl, paes, poliz","giudic, piazz, forz, fatt, territor, vogl, colp, partecip, presid, invec"
no_vax,1,"manifest, polit, stat, no, libert, provved, esprim, dic, applaus, pubblic","no, citt, provved, esprim, vax, libert, nessun, chied, d'ital, esist"
no_vax,2,"democrat, stat, manifest, deput, grupp, norm, part, applaus, protest, c'è","democrat, progress, ital, pens, atto, consigl, ecco, insomm, protest, dall'altr"
no_vax,3,"manifest, forz, stat, nuov, ottobr, altri, green, pass, pubblic, violent","soprattutt, altri, ottobr, violent, contrar, rom, estrem, musical, nuov, svolt"
no_vax,4,"manifest, polit, stat, diritt, problem, sindac, paes, lavor, allor, effett","diritt, problem, effett, sindac, vaccin, dissens, affront, simbol, allor, mov"
police_security,1,"stat, sicurezz, pubblic, grand, que, manifest, paes, poi, cittadin, polit","grand, que, strument, competent, trov, pericol, poi, propagand, sproporzion, pubblic"
police_security,2,"manifest, deput, grupp, applaus, democrat, part, stat, forz, protest, paes","codic, part, deput, premier, aggrav, penal, grupp, sinistr, alleanz, serviz"
police_security,3,"manifest, forz, dell'ordin, sicurezz, lavor, piazz, vit, poliz, senz, presid","vit, uomin, ringraz, lavor, dell'ordin, triest, donn, legal, figl, fort"
police_security,4,"manifest, stat, forz, protest, cas, poliz, sicurezz, cittadin, dell'ordin, alcun","ferm, dev, durant, cas, ministr, alcun, fatt, allor, violenz, vuol"
prisoners_rights,1,"stat, deput, protest, applaus, grupp, diritt, democrat, libert, lavor, paes","progress, stell, democrat, alleanz, verd, democratico-ital, part, mov, applaus, signif"
prisoners_rights,2,"sicurezz, norm, stat, diritt, manifest, penal, dissens, occup, reat, codic","occup, codic, spaz, stabil, tant, criminalizz, immobil, penal, abus, preoccup"
prisoners_rights,3,"carc, reat, rivolt, deten, pass, resistent, carcer, protest, nuov, manifest","resistent, climat, pacif, pass, precedent, all'intern, carc, cpr, suicid, cell"
prisoners_rights,4,"forz, poliz, stat, penitenziar, agent, rivolt, dell'ordin, manifest, deput, deten","agent, uomin, forz, decin, dell'ordin, poliz, giorn, d'ital, fratell, penitenziar"
pro_palestine,1,"deput, grupp, libert, stat, applaus, giornal, part, manifest, continu, democrat","condizion, libert, giornal, rom, stamp, cas, scritt, c'è, esprim, c'er"
pro_palestine,2,"gaz, grupp, internazional, diritt, deput, manifest, ital, stat, vist, attiv","internazional, israel, gaz, port, tant, flotill, attiv, vogl, global, comun"
pro_palestine,3,"deput, grupp, manifest, applaus, protest, stat, reat, piazz, democrat, person","reat, bandier, person, protest, sicurezz, divent, nuov, stell, ragazz, centr"
pro_palestine,4,"manifest, stat, ved, dic, forz, student, poss, invec, protest, scuol","studentess, ved, autorizz, cerc, pac, student, forz, rispost, poss, propr"
students,1,"stat, paes, provved, scuol, attiv, parl, port, ragazz, comun, dov","coinvolg, limit, provved, attiv, comun, educ, element, paes, tip, dop"
students,2,"protest, student, va, scuol, stat, fuor, anzic, dic, ben, parl","va, anzic, rivolt, fuor, nuov, chiar, ricord, ebben, nonost, car"
students,3,"manifest, diritt, deput, stat, student, ragazz, grupp, chied, fatt, applaus","contest, manifest, fatt, ore, diritt, immagin, alleanz, sinistr, verd, sa"
students,4,"protest, student, ser, affitt, paes, c'è, possibil, lavor, tem, polit","ser, universitar, affitt, affront, possibil, tem, protest, palazz, davver, ecco"
